Park,Ride Name,Is Open,Wait Time,Last Updated
Adventureland,Adventure Isle,False,0,2025-01-22T23:00:08.000Z
Adventureland,Indiana Jones and the Temple of Peril Single Rider,True,0,2025-01-22T23:00:08.000Z
Adventureland,Indiana Jones™ and the Temple of Peril,True,5,2025-01-22T23:00:08.000Z
Adventureland,La Cabane des Robinson,True,5,2025-01-22T23:00:08.000Z
Adventureland,Le Passage Enchanté d'Aladdin,False,0,2025-01-22T23:00:08.000Z
Adventureland,Pirate Galleon,False,0,2025-01-22T23:00:08.000Z
Adventureland,Pirates of the Caribbean,False,0,2025-01-22T23:00:08.000Z
Adventureland,Pirates' Beach,False,0,2025-01-22T23:00:08.000Z
Discoveryland,"Autopia, presented by Avis",False,0,2025-01-22T23:00:08.000Z
Discoveryland,Buzz Lightyear Laser Blast,True,5,2025-01-22T23:00:08.000Z
Discoveryland,Disneyland Railroad Discoveryland Station,False,0,2025-01-22T23:00:08.000Z
Discoveryland,Les Mystères du Nautilus,False,0,2025-01-22T23:00:08.000Z
Discoveryland,Mickey’s PhilharMagic,False,0,2025-01-22T23:00:08.000Z
Discoveryland,Orbitron®,True,5,2025-01-22T23:00:08.000Z
Discoveryland,Star Tours: The Adventures Continue*,True,5,2025-01-22T23:00:08.000Z
Discoveryland,Star Wars Hyperspace Mountain,True,5,2025-01-22T23:00:08.000Z
Discoveryland,Star Wars Hyperspace Mountain Single Rider,True,0,2025-01-22T23:00:08.000Z
Discoveryland,Welcome to Starport: A Star Wars Encounter,False,0,2025-01-22T23:00:08.000Z
Fantasyland,"""it's a small world""",False,0,2025-01-22T23:00:08.000Z
Fantasyland,Alice's Curious Labyrinth,False,0,2025-01-22T23:00:08.000Z
Fantasyland,Blanche-Neige et les Sept Nains®,False,0,2025-01-22T23:00:08.000Z
Fantasyland,Casey Jr. – le Petit Train du Cirque,False,0,2025-01-22T23:00:08.000Z
Fantasyland,Disneyland Railroad,False,0,2025-01-22T23:00:08.000Z
Fantasyland,Disneyland Railroad Fantasyland Station,False,0,2025-01-22T23:00:08.000Z
Fantasyland,Dumbo the Flying Elephant,False,0,2025-01-22T23:00:08.000Z
Fantasyland,La Tanière du Dragon,False,0,2025-01-22T23:00:08.000Z
Fantasyland,Le Carrousel de Lancelot ,False,0,2025-01-22T23:00:08.000Z
Fantasyland,"Le Pays des Contes de Fées, presented by Vittel",False,0,2025-01-22T23:00:08.000Z
Fantasyland,Les Voyages de Pinocchio,False,0,2025-01-22T23:00:08.000Z
Fantasyland,Mad Hatter's Tea Cups,False,0,2025-01-22T23:00:08.000Z
Fantasyland,Meet Mickey Mouse,False,0,2025-01-22T23:00:08.000Z
Fantasyland,Peter Pan's Flight,True,5,2025-01-22T23:00:08.000Z
Fantasyland,Princess Pavilion,False,0,2025-01-22T23:00:08.000Z
Frontierland,Big Thunder Mountain,False,0,2025-01-22T23:00:08.000Z
Frontierland,Disneyland Railroad Frontierland Depot,False,0,2025-01-22T23:00:08.000Z
Frontierland,Frontierland Playground,False,0,2025-01-22T23:00:08.000Z
Frontierland,Phantom Manor,True,5,2025-01-22T23:00:08.000Z
Frontierland,River Rogue Keelboats,False,0,2025-01-22T23:00:08.000Z
Frontierland,Rustler Roundup Shootin' Gallery,False,0,2025-01-22T23:00:08.000Z
Frontierland,Thunder Mesa Riverboat Landing,False,0,2025-01-22T23:00:08.000Z
Main Street U.S.A,Disneyland Railroad Main Street Station,False,0,2025-01-22T23:00:08.000Z
Main Street U.S.A,Main Street Vehicles,False,0,2025-01-22T23:00:08.000Z
