Park,Ride Name,Is Open,Wait Time,Last Updated
Adventureland,A Pirate's Adventure ~ Treasures of the Seven Seas,False,0,2025-01-23T03:21:18.000Z
Adventureland,Jingle Cruise,False,0,2025-01-23T03:21:18.000Z
Adventureland,Pirates of the Caribbean,True,5,2025-01-23T03:21:18.000Z
Adventureland,Swiss Family Treehouse,True,5,2025-01-23T03:21:18.000Z
Adventureland,The Magic Carpets of Aladdin,True,5,2025-01-23T03:21:18.000Z
Adventureland,Walt Disney's Enchanted Tiki Room,True,15,2025-01-23T03:21:18.000Z
Fantasyland,"""it's a small world""",True,5,2025-01-23T03:21:18.000Z
Fantasyland,Casey Jr. Splash 'N' Soak Station,True,0,2025-01-23T03:21:18.000Z
Fantasyland,Cinderella Castle,True,0,2025-01-23T03:21:18.000Z
Fantasyland,Dumbo the Flying Elephant,True,10,2025-01-23T03:21:18.000Z
Fantasyland,Enchanted Tales with Belle,False,0,2025-01-23T03:21:18.000Z
Fantasyland,Mad Tea Party,True,0,2025-01-23T03:21:18.000Z
Fantasyland,Meet Ariel at Her Grotto,False,0,2025-01-23T03:21:18.000Z
Fantasyland,Meet Cinderella and a Visiting Princess at Princess Fairytale Hall,False,0,2025-01-23T03:21:18.000Z
Fantasyland,Meet Daring Disney Pals as Circus Stars at Pete's Silly Sideshow,False,0,2025-01-23T03:21:18.000Z
Fantasyland,Meet Dashing Disney Pals as Circus Stars at Pete's Silly Sideshow,False,0,2025-01-23T03:21:18.000Z
Fantasyland,Meet Princess Tiana and a Visiting Princess at Princess Fairytale Hall,False,0,2025-01-23T03:21:18.000Z
Fantasyland,Mickey's PhilharMagic,True,10,2025-01-23T03:21:18.000Z
Fantasyland,Peter Pan's Flight,True,20,2025-01-23T03:21:18.000Z
Fantasyland,Prince Charming Regal Carrousel,True,5,2025-01-23T03:21:18.000Z
Fantasyland,Seven Dwarfs Mine Train,True,20,2025-01-23T03:21:18.000Z
Fantasyland,The Barnstormer,True,5,2025-01-23T03:21:18.000Z
Fantasyland,The Many Adventures of Winnie the Pooh,True,15,2025-01-23T03:21:18.000Z
Fantasyland,Under the Sea - Journey of The Little Mermaid,True,5,2025-01-23T03:21:18.000Z
Fantasyland,Walt Disney World Railroad - Fantasyland,False,0,2025-01-23T03:21:18.000Z
Frontierland,Big Thunder Mountain Railroad,False,0,2025-01-23T03:21:18.000Z
Frontierland,Country Bear Musical Jamboree,False,0,2025-01-23T03:21:18.000Z
Frontierland,Tiana's Bayou Adventure,False,0,2025-01-23T03:21:18.000Z
Frontierland,Tom Sawyer Island,False,0,2025-01-23T03:21:18.000Z
Frontierland,Walt Disney World Railroad - Frontierland,False,0,2025-01-23T03:21:18.000Z
Liberty Square,Haunted Mansion,True,13,2025-01-23T03:21:18.000Z
Liberty Square,Liberty Square Riverboat,False,0,2025-01-23T03:21:18.000Z
Liberty Square,The Hall of Presidents,False,0,2025-01-23T03:21:18.000Z
"Main Street, U.S.A.",Main Street Vehicles,False,0,2025-01-23T03:21:18.000Z
"Main Street, U.S.A.",Meet Mickey at Town Square Theater,False,0,2025-01-23T03:21:18.000Z
"Main Street, U.S.A.","Walt Disney World Railroad - Main Street, U.S.A.",False,0,2025-01-23T03:21:18.000Z
Tomorrowland,Astro Orbiter,False,0,2025-01-23T03:21:18.000Z
Tomorrowland,Buzz Lightyear's Space Ranger Spin,True,10,2025-01-23T03:21:18.000Z
Tomorrowland,Monsters Inc. Laugh Floor,True,10,2025-01-23T03:21:18.000Z
Tomorrowland,Space Mountain,True,5,2025-01-23T03:21:18.000Z
Tomorrowland,Tomorrowland Speedway,True,5,2025-01-23T03:21:18.000Z
Tomorrowland,Tomorrowland Transit Authority PeopleMover,False,0,2025-01-23T03:21:18.000Z
Tomorrowland,TRON Lightcycle / Run,True,35,2025-01-23T03:21:18.000Z
Tomorrowland,Walt Disney's Carousel of Progress,False,0,2025-01-23T03:21:18.000Z
