Park,Ride Name,Is Open,Wait Time,Last Updated
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,True,70,2025-01-23T02:41:36.000Z
Avengers Campus,Guardians of the Galaxy - Monsters After Dark,False,0,2025-01-23T02:41:36.000Z
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,True,35,2025-01-23T02:41:36.000Z
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure Single Rider,True,0,2025-01-23T02:41:36.000Z
Buena Vista Street,Red Car Trolley,True,0,2025-01-23T02:41:36.000Z
Cars Land,Luigi's Rollickin' Roadsters,True,35,2025-01-23T02:41:36.000Z
Cars Land,Mater's Junkyard Jamboree,True,20,2025-01-23T02:41:36.000Z
Cars Land,Radiator Springs Racers,True,50,2025-01-23T02:41:36.000Z
Cars Land,Radiator Springs Racers Single Rider,True,0,2025-01-23T02:41:36.000Z
Grizzly Peak,Grizzly River Run,False,0,2025-01-23T02:41:36.000Z
Grizzly Peak,Redwood Creek Challenge Trail,True,5,2025-01-23T02:41:36.000Z
Grizzly Peak,Soarin' Around the World,True,30,2025-01-23T02:41:36.000Z
Hollywood Land,Animation Academy,True,0,2025-01-23T02:41:36.000Z
Hollywood Land,Mickey's PhilharMagic,True,10,2025-01-23T02:41:36.000Z
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",True,30,2025-01-23T02:41:36.000Z
Hollywood Land,Sorcerer's Workshop,True,0,2025-01-23T02:41:36.000Z
Hollywood Land,Turtle Talk with Crush,True,0,2025-01-23T02:41:36.000Z
Paradise Gardens Park,Golden Zephyr,False,0,2025-01-23T02:41:36.000Z
Paradise Gardens Park,Goofy's Sky School,False,0,2025-01-23T02:41:36.000Z
Paradise Gardens Park,Silly Symphony Swings,True,5,2025-01-23T02:41:36.000Z
Paradise Gardens Park,Silly Symphony Swings Single Rider,True,0,2025-01-23T02:41:36.000Z
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,True,15,2025-01-23T02:41:36.000Z
Paradise Gardens Park,World of Color - Season of Light,False,0,2025-01-23T02:41:36.000Z
Paradise Gardens Park,World of Color – ONE,True,0,2025-01-23T02:41:36.000Z
Pixar Pier,Games of Pixar Pier,True,5,2025-01-23T02:41:36.000Z
Pixar Pier,Incredicoaster,True,30,2025-01-23T02:41:36.000Z
Pixar Pier,Incredicoaster Single Rider,True,0,2025-01-23T02:41:36.000Z
Pixar Pier,Inside Out Emotional Whirlwind,False,0,2025-01-23T02:41:36.000Z
Pixar Pier,Jessie's Critter Carousel,True,5,2025-01-23T02:41:36.000Z
Pixar Pier,Jumpin' Jellyfish,True,15,2025-01-23T02:41:36.000Z
Pixar Pier,Pixar Pal-A-Round - Swinging,True,25,2025-01-23T02:41:36.000Z
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,True,30,2025-01-23T02:41:36.000Z
Pixar Pier,Toy Story Midway Mania!,True,40,2025-01-23T02:41:36.000Z
San Fransokyo Square,The Bakery Tour,True,0,2025-01-23T02:41:36.000Z
