date,tavg_f,Location
736695,56.120000000000005,Anaheim
736696,60.8,Anaheim
736697,61.34,Anaheim
736698,62.06,Anaheim
736699,62.24,Anaheim
736700,62.42,Anaheim
736701,62.78,Anaheim
736702,63.14,Anaheim
736703,57.56,Anaheim
736704,57.019999999999996,Anaheim
736705,57.74,Anaheim
736706,59.0,Anaheim
736707,68.36,Anaheim
736708,69.25999999999999,Anaheim
736709,60.8,Anaheim
736710,59.900000000000006,Anaheim
736711,61.88,Anaheim
736712,62.6,Anaheim
736713,59.0,Anaheim
736714,55.76,Anaheim
736715,52.16,Anaheim
736716,54.68,Anaheim
736717,59.18,Anaheim
736718,61.16,Anaheim
736719,53.96,Anaheim
736720,54.5,Anaheim
736721,58.28,Anaheim
736722,68.9,Anaheim
736723,75.2,Anaheim
736724,66.38,Anaheim
736725,63.14,Anaheim
736726,62.24,Anaheim
736727,64.03999999999999,Anaheim
736728,64.03999999999999,Anaheim
736729,63.68000000000001,Anaheim
736730,60.620000000000005,Anaheim
736731,59.540000000000006,Anaheim
736732,64.4,Anaheim
736733,65.84,Anaheim
736734,59.72,Anaheim
736735,59.72,Anaheim
736736,59.72,Anaheim
736737,57.379999999999995,Anaheim
736738,57.74,Anaheim
736739,61.88,Anaheim
736740,61.7,Anaheim
736741,63.68000000000001,Anaheim
736742,60.980000000000004,Anaheim
736743,57.74,Anaheim
736744,53.96,Anaheim
736745,49.82,Anaheim
736746,51.620000000000005,Anaheim
736747,52.16,Anaheim
736748,51.620000000000005,Anaheim
736749,50.540000000000006,Anaheim
736750,55.22,Anaheim
736751,54.32,Anaheim
736752,50.540000000000006,Anaheim
736753,51.26,Anaheim
736754,53.96,Anaheim
736755,54.5,Anaheim
736756,55.76,Anaheim
736757,52.879999999999995,Anaheim
736758,59.72,Anaheim
736759,64.94,Anaheim
736760,60.26,Anaheim
736761,60.620000000000005,Anaheim
736762,60.44,Anaheim
736763,59.18,Anaheim
736764,61.88,Anaheim
736765,63.14,Anaheim
736766,63.14,Anaheim
736767,60.8,Anaheim
736768,59.540000000000006,Anaheim
736769,56.120000000000005,Anaheim
736770,56.480000000000004,Anaheim
736771,55.22,Anaheim
736772,61.88,Anaheim
736773,63.31999999999999,Anaheim
736774,63.31999999999999,Anaheim
736775,62.24,Anaheim
736776,61.88,Anaheim
736777,58.28,Anaheim
736778,57.74,Anaheim
736779,58.46,Anaheim
736780,62.06,Anaheim
736781,62.78,Anaheim
736782,63.31999999999999,Anaheim
736783,63.86,Anaheim
736784,61.519999999999996,Anaheim
736785,60.08,Anaheim
736786,62.06,Anaheim
736787,63.31999999999999,Anaheim
736788,59.900000000000006,Anaheim
736789,61.16,Anaheim
736790,62.6,Anaheim
736791,64.03999999999999,Anaheim
736792,66.02,Anaheim
736793,73.4,Anaheim
736794,72.86,Anaheim
736795,66.74000000000001,Anaheim
736796,63.86,Anaheim
736797,65.84,Anaheim
736798,70.34,Anaheim
736799,64.75999999999999,Anaheim
736800,60.08,Anaheim
736801,59.72,Anaheim
736802,61.519999999999996,Anaheim
736803,57.56,Anaheim
736804,62.42,Anaheim
736805,68.53999999999999,Anaheim
736806,68.18,Anaheim
736807,64.75999999999999,Anaheim
736808,62.42,Anaheim
736809,64.03999999999999,Anaheim
736810,62.06,Anaheim
736811,62.42,Anaheim
736812,62.96,Anaheim
736813,63.14,Anaheim
736814,61.34,Anaheim
736815,58.46,Anaheim
736816,58.46,Anaheim
736817,62.96,Anaheim
736818,71.96000000000001,Anaheim
736819,73.94,Anaheim
736820,69.62,Anaheim
736821,65.48,Anaheim
736822,66.02,Anaheim
736823,67.28,Anaheim
736824,66.38,Anaheim
736825,62.6,Anaheim
736826,62.24,Anaheim
736827,64.03999999999999,Anaheim
736828,64.22,Anaheim
736829,63.68000000000001,Anaheim
736830,64.94,Anaheim
736831,64.4,Anaheim
736832,64.58000000000001,Anaheim
736833,64.4,Anaheim
736834,65.12,Anaheim
736835,62.96,Anaheim
736836,64.58000000000001,Anaheim
736837,65.12,Anaheim
736838,63.31999999999999,Anaheim
736839,65.48,Anaheim
736840,64.94,Anaheim
736841,65.84,Anaheim
736842,67.1,Anaheim
736843,65.84,Anaheim
736844,64.75999999999999,Anaheim
736845,67.1,Anaheim
736846,67.82,Anaheim
736847,70.7,Anaheim
736848,70.88,Anaheim
736849,67.28,Anaheim
736850,66.02,Anaheim
736851,67.64,Anaheim
736852,69.08000000000001,Anaheim
736853,72.32,Anaheim
736854,71.42,Anaheim
736855,71.78,Anaheim
736856,73.03999999999999,Anaheim
736857,71.6,Anaheim
736858,71.6,Anaheim
736859,72.32,Anaheim
736860,71.06,Anaheim
736861,66.38,Anaheim
736862,66.2,Anaheim
736863,67.82,Anaheim
736864,68.18,Anaheim
736865,68.53999999999999,Anaheim
736866,69.62,Anaheim
736867,71.96000000000001,Anaheim
736868,67.1,Anaheim
736869,68.18,Anaheim
736870,70.7,Anaheim
736871,71.78,Anaheim
736872,71.78,Anaheim
736873,69.25999999999999,Anaheim
736874,69.25999999999999,Anaheim
736875,69.80000000000001,Anaheim
736876,70.88,Anaheim
736877,72.14,Anaheim
736878,71.24000000000001,Anaheim
736879,73.03999999999999,Anaheim
736880,78.25999999999999,Anaheim
736881,89.96000000000001,Anaheim
736882,84.56,Anaheim
736883,83.84,Anaheim
736884,81.14,Anaheim
736885,78.44,Anaheim
736886,78.25999999999999,Anaheim
736887,78.08000000000001,Anaheim
736888,78.44,Anaheim
736889,78.44,Anaheim
736890,75.92,Anaheim
736891,76.1,Anaheim
736892,75.38,Anaheim
736893,75.02,Anaheim
736894,76.46000000000001,Anaheim
736895,75.92,Anaheim
736896,77.18,Anaheim
736897,79.34,Anaheim
736898,81.32,Anaheim
736899,80.78,Anaheim
736900,78.25999999999999,Anaheim
736901,76.28,Anaheim
736902,78.25999999999999,Anaheim
736903,75.92,Anaheim
736904,79.16,Anaheim
736905,82.22,Anaheim
736906,81.5,Anaheim
736907,82.22,Anaheim
736908,79.7,Anaheim
736909,79.7,Anaheim
736910,78.08000000000001,Anaheim
736911,78.98,Anaheim
736912,82.03999999999999,Anaheim
736913,81.86,Anaheim
736914,82.75999999999999,Anaheim
736915,83.48,Anaheim
736916,83.30000000000001,Anaheim
736917,81.68,Anaheim
736918,78.08000000000001,Anaheim
736919,76.82,Anaheim
736920,76.46000000000001,Anaheim
736921,76.1,Anaheim
736922,77.0,Anaheim
736923,78.62,Anaheim
736924,76.82,Anaheim
736925,76.82,Anaheim
736926,75.92,Anaheim
736927,76.64,Anaheim
736928,77.36,Anaheim
736929,76.82,Anaheim
736930,74.48,Anaheim
736931,74.30000000000001,Anaheim
736932,74.30000000000001,Anaheim
736933,73.22,Anaheim
736934,73.75999999999999,Anaheim
